school_year,building_code,dbn,location_name,location_code,address,borough,geographical_district_code,register,schools,schools_in_building,major_n,oth_n,nocrim_n,prop_n,vio_n,total_incidents,engroupa,rangea,avgofmajor_n,avgofoth_n,avgofnocrim_n,avgofprop_n,avgofvio_n,borough_name,cleaned_borough_name,postcode,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta,,,Total Rows:,6309
2015-16,X843,11X418,P.S. 246 POE CENTER,X246,2641 GRAND CONCOURSE,X,10,704,1,P.S. 246 POE CENTER,0,0,0,0,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,BRONX,BRONX,10468,40.865593,-73.894758,7,14,401,2013830,2031680027,BEDFORD PARK-FORDHAM NORTH,,,,
2015-16,X839,75X352,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,X418,2040 ANTIN PL,X,11,500,1,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,0,3,1,1,2,7,3C,251-500,0.27,0.9,1.67,0.63,0.44,BRONX,BRONX,10462,40.851405,-73.865036,11,13,228,2048811,2042900048,PELHAM PARKWAY,,,,
2015-16,X834,10X226,THE VIDA BOGART SCHOOL FOR ALL CHILDREN,X352,1330 BRISTOW STREET,X,12,516,1,THE VIDA BOGART SCHOOL FOR ALL CHILDREN,0,0,0,0,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,BRONX,BRONX,10459,40.83132,-73.894794,3,17,153,2010273,2029650082,CROTONA PARK EAST,,,,
2015-16,X826,10X207,P.S. 226,X226,1950 SEDGWICK AVENUE,X,10,497,1,P.S. 226,0,0,1,0,0,1,4C,501-750,0.28,1.11,1.74,0.75,0.53,BRONX,BRONX,10453,40.856586,-73.916198,5,14,249,2096465,2032220100,UNIVERSITY HEIGHTS-MORRIS HEIGHTS,,,,
2015-16,X819,07X548,P.S. 207,X207,3030 GODWIN TERRACE,X,10,406,1,P.S. 207,0,0,0,0,0,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,BRONX,BRONX,10463,40.878322,-73.906556,8,11,289,2083138,2057010105,SPUYTEN DUYVIL-KINGSBRIDGE,,,,
2015-16,X790,07X547,730 CONCOURSE VILLAGE WEST CONSOLIDATED LOCATION,,730 CONCOURSE VILLAGE WEST,X,7,1522,3,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL | NEW EXPLORERS HIGH SCHOOL | URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS | 730 CONCOURSE VILLAGE WEST CONSOLIDATED LOCATION,5,9,42,6,6,68,8C,1501-1750,0.42,1.78,3.44,1.02,0.87,BRONX,BRONX,10451,40.82231,-73.923829,4,17,61,2103486,2024430078,EAST CONCOURSE-CONCOURSE VILLAGE,,,,
2015-16,X790,79X695,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,X548,730 CONCOURSE VILLAGE WEST,X,7,592,3,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL | NEW EXPLORERS HIGH SCHOOL | URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS | 730 CONCOURSE VILLAGE WEST CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,0,4C,501-750,N/A,N/A,N/A,N/A,N/A,BRONX,BRONX,10451,40.82231,-73.923829,4,17,61,2103486,2024430078,EAST CONCOURSE-CONCOURSE VILLAGE,,,,
2015-16,X790,07X527,NEW EXPLORERS HIGH SCHOOL,X547,730 CONCOURSE VILLAGE WEST,X,7,426,3,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL | NEW EXPLORERS HIGH SCHOOL | URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS | 730 CONCOURSE VILLAGE WEST CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,0,3C,251-500,N/A,N/A,N/A,N/A,N/A,BRONX,BRONX,10451,40.82231,-73.923829,4,17,61,2103486,2024430078,EAST CONCOURSE-CONCOURSE VILLAGE,,,,
2015-16,X991,10X667,PASSAGES ACADEMY,X695,560 BROOK AVENUE,X,7,254,1,PASSAGES ACADEMY,0,0,0,0,0,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,BRONX,BRONX,10455,40.815878,-73.914404,1,17,71,2000133,2022760001,MELROSE SOUTH-MOTT HAVEN NORTH,,,,
2015-16,X790,10X660,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,X527,730 CONCOURSE VILLAGE WEST,X,7,504,3,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL | NEW EXPLORERS HIGH SCHOOL | URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS | 730 CONCOURSE VILLAGE WEST CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,0,4C,501-750,N/A,N/A,N/A,N/A,N/A,BRONX,BRONX,10451,40.82231,-73.923829,4,17,61,2103486,2024430078,EAST CONCOURSE-CONCOURSE VILLAGE,,,,
